Linux 6.8.0-137-generic (dellr470) 	09/03/2026 	_x86_64_	(128 CPU)

06:59:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:59:30 PM  all   50.09    0.00    3.86    0.02    0.00    0.23    0.00    0.00    0.00   45.80
06:59:30 PM    0   36.48    0.00    4.71    0.00    0.00    1.43    0.00    0.00    0.00   57.38
06:59:30 PM    1   52.42    0.00    4.44    0.00    0.00    0.81    0.00    0.00    0.00   42.34
06:59:30 PM    2   33.47    0.00    5.92    0.00    0.00    0.82    0.00    0.00    0.00   59.80
06:59:30 PM    3   57.17    0.00    6.26    0.00    0.00    0.40    0.00    0.00    0.00   36.16
06:59:30 PM    4   62.27    0.00    6.49    0.00    0.00    0.41    0.00    0.00    0.00   30.83
06:59:30 PM    5   38.74    0.00    4.26    0.00    0.00    0.41    0.00    0.00    0.00   56.59
06:59:30 PM    6   59.36    0.00    4.63    0.00    0.00    0.00    0.00    0.00    0.00   36.02
06:59:30 PM    7   77.15    0.00    5.21    0.00    0.00    0.20    0.00    0.00    0.00   17.43
06:59:30 PM    8   62.58    0.00    6.04    0.00    0.00    0.00    0.00    0.00    0.00   31.39
06:59:30 PM    9   27.18    0.00    3.25    0.00    0.00    0.41    0.00    0.00    0.00   69.17
06:59:30 PM   10   42.94    0.00    4.84    0.00    0.00    0.40    0.00    0.00    0.00   51.81
06:59:30 PM   11   35.15    0.00    3.23    0.00    0.00    0.20    0.00    0.00    0.00   61.41
06:59:30 PM   12   71.66    0.00    5.79    0.00    0.00    0.40    0.00    0.00    0.00   22.16
06:59:30 PM   13   45.00    0.00    3.60    0.00    0.00    0.20    0.00    0.00    0.00   51.20
06:59:30 PM   14   52.10    0.00    4.41    0.00    0.00    0.20    0.00    0.00    0.00   43.29
06:59:30 PM   15   55.02    0.00    4.02    0.00    0.00    0.20    0.00    0.00    0.00   40.76
06:59:30 PM   16   56.69    0.00    4.59    0.00    0.00    0.20    0.00    0.00    0.00   38.52
06:59:30 PM   17   34.61    0.00    2.82    0.00    0.00    0.20    0.00    0.00    0.00   62.37
06:59:30 PM   18   30.12    0.00    3.61    0.00    0.00    0.00    0.00    0.00    0.00   66.27
06:59:30 PM   19   33.74    0.00    3.23    0.00    0.00    0.20    0.00    0.00    0.00   62.83
