Linux 6.8.0-137-generic (dellr470) 	09/03/2026 	_x86_64_	(128 CPU)

05:01:23 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:01:33 PM  all   31.21    0.00    2.53    0.02    0.00    0.21    0.00    0.00    0.00   66.02
05:01:33 PM    0   33.56    0.00    4.00    0.11    0.00    1.89    0.00    0.00    0.00   60.44
05:01:33 PM    1   23.85    0.00    3.35    0.10    0.00    1.36    0.00    0.00    0.00   71.34
05:01:33 PM    2   33.40    0.00    3.83    0.00    0.00    0.83    0.00    0.00    0.00   61.94
05:01:33 PM    3   26.25    0.00    3.46    0.00    0.00    0.41    0.00    0.00    0.00   69.89
05:01:33 PM    4   37.49    0.00    3.75    0.00    0.00    0.20    0.00    0.00    0.00   58.56
05:01:33 PM    5   28.27    0.00    3.02    0.10    0.00    0.20    0.00    0.00    0.00   68.41
05:01:33 PM    6   29.94    0.00    3.12    0.00    0.00    0.10    0.00    0.00    0.00   66.83
05:01:33 PM    7   28.07    0.00    3.92    0.00    0.00    0.10    0.00    0.00    0.00   67.91
05:01:33 PM    8   23.92    0.00    3.53    0.10    0.00    0.20    0.00    0.00    0.00   72.25
05:01:33 PM    9   48.74    0.00    3.92    0.00    0.00    0.10    0.00    0.00    0.00   47.24
05:01:33 PM   10   28.48    0.00    3.03    0.00    0.00    0.20    0.00    0.00    0.00   68.28
05:01:33 PM   11   35.17    0.00    3.61    0.10    0.00    0.20    0.00    0.00    0.00   60.92
05:01:33 PM   12   27.67    0.00    2.62    0.00    0.00    0.00    0.00    0.00    0.00   69.72
05:01:33 PM   13   24.97    0.00    3.12    0.00    0.00    0.10    0.00    0.00    0.00   71.80
05:01:33 PM   14   27.58    0.00    3.94    0.00    0.00    0.10    0.00    0.00    0.00   68.38
05:01:33 PM   15   19.96    0.00    2.62    0.00    0.00    0.30    0.00    0.00    0.00   77.12
05:01:33 PM   16   16.60    0.00    2.82    0.00    0.00    0.30    0.00    0.00    0.00   80.28
05:01:33 PM   17   26.36    0.00    3.82    0.10    0.00    0.40    0.00    0.00    0.00   69.32
05:01:33 PM   18   25.23    0.00    3.04    0.00    0.00    0.20    0.00    0.00    0.00   71.53
05:01:33 PM   19   26.26    0.00    2.53    0.00    0.00    0.20    0.00    0.00    0.00   71.01
05:01:33 PM   20   19.17    0.00    1.51    0.00    0.00    0.20    0.00    0.00    0.00   79.11
05:01:33 PM   21   22.23    0.00    3.22    0.00    0.00    0.20    0.00    0.00    0.00   74.35
05:01:33 PM   22   21.01    0.00    1.82    0.00    0.00    0.20    0.00    0.00    0.00   76.97
05:01:33 PM   23   34.50    0.00    3.41    0.00    0.00    0.20    0.00    0.00    0.00   61.89
05:01:33 PM   24   35.04    0.00    3.51    0.00    0.00    0.10    0.00    0.00    0.00   61.35
05:01:33 PM   25   24.17    0.00    2.52    0.00    0.00    0.20    0.00    0.00    0.00   73.11
05:01:33 PM   26   23.01    0.00    2.52    0.00    0.00    0.30    0.00    0.00    0.00   74.17
05:01:33 PM   27   31.65    0.00    3.83    0.00    0.00    0.20    0.00    0.00    0.00   64.31
05:01:33 PM   28   20.82    0.00    2.82    0.00    0.00    0.10    0.00    0.00    0.00   76.26
05:01:33 PM   29   17.46    0.00    1.72    0.00    0.00    0.20    0.00    0.00    0.00   80.63
05:01:33 PM   30   39.68    0.00    4.01    0.00    0.00    0.30    0.00    0.00    0.00   56.01
05:01:33 PM   31   22.02    0.00    3.03    0.00    0.00    0.20    0.00    0.00    0.00   74.75
05:01:33 PM   32   22.93    0.00    3.84    0.00    0.00    0.20    0.00    0.00    0.00   73.03
05:01:33 PM   33   88.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   11.89
05:01:33 PM   34   21.45    0.00    2.22    0.00    0.00    0.20    0.00    0.00    0.00   76.13
05:01:33 PM   35   98.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.40
05:01:33 PM   36   37.30    0.00    3.23    0.00    0.00    0.20    0.00    0.00    0.00   59.27
05:01:33 PM   37   98.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50
05:01:33 PM   38   30.54    0.00    2.52    0.00    0.00    0.20    0.00    0.00    0.00   66.73
05:01:33 PM   39   98.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50
05:01:33 PM   40   16.62    0.00    1.81    0.00    0.00    0.00    0.00    0.00    0.00   81.57
05:01:33 PM   41   84.98    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   14.91
